1023,1020
1023,1021
1023,1022
1023,1020
1023,1020
1023,1021
1023,1021
1023,1019
1023,1011
1023,1019
1023,1020
1023,944
1023,1004
1023,1005
1023,1004
1023,991
1023,931
1021,926
1021,933
1020,910
1019,908
1018,875
1017,875
1016,848
1015,858
1015,850
1014,848
1013,831
1013,799
1011,818
1012,805
1010,800
1009,787
1007,776
1006,766
1005,759
1003,739
1003,743
1002,739
1000,714
1000,710
996,701
995,674
993,668
1013,672
991,654
989,645
987,633
984,612
984,609
982,599
980,585
978,582
975,565
974,549
973,540
969,499
964,496
959,476
953,452
942,399
925,383
916,356
908,340
891,313
876,291
865,284
853,270
843,259
836,249
824,237
813,238
801,230
799,223
790,218
778,210
773,202
765,201
755,184
748,192
735,187
735,180
716,176
709,174
699,167
686,163
675,161
666,157
660,156
634,151
640,145
623,142
610,139
596,132
582,131
574,130
568,124
550,120
539,119
528,118
520,116
509,112
494,109
479,107
464,106
453,100
441,100
432,105
419,96
410,96
404,93
400,95
393,93
403,92
379,91
368,84
358,88
350,85
341,85
329,82
320,81
315,81
308,78
297,77
284,75
274,73
258,75
247,71
236,69
223,64
213,64
201,72
169,61
173,59
161,55
147,54
136,52
123,49
113,47
96,43
85,39
76,37
63,35
55,32
51,32
47,31
53,31
45,29
40,32
38,26
34,36
34,25
17,25
30,24
29,23
28,21
26,21
25,20
22,19
20,18
21,18
21,20
21,19
20,19
19,17
16,14
13,10
10,9
7,8
6,6
3,6
4,3
1,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
